ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
33,Paris,French Open,5/22/16,Grand Slam,Outdoor,Clay,1st Round,5,Kyrgios N.,Cecchinato M.,19,124,1855,478,2,0,Completed,1.66,2.1,1.68,2.1,1.62,2.25,1.68,2.31,1.76,2.35,1.66,2.2
33,Paris,French Open,5/22/16,Grand Slam,Outdoor,Clay,1st Round,5,Paire B.,Albot R.,21,137,1641,423,2,1,Completed,1.53,2.37,1.58,2.35,1.53,2.5,1.63,2.4,1.63,2.5,1.57,2.37
33,Paris,French Open,5/22/16,Grand Slam,Outdoor,Clay,1st Round,5,Sijsling I.,Ungur A.,123,203,484,264,2,0,Completed,1.72,2,1.82,1.9,1.8,2,1.9,1.99,1.9,2.1,1.77,2
33,Paris,French Open,5/22/16,Grand Slam,Outdoor,Clay,1st Round,5,Gabashvili T.,Young D.,79,76,706,712,2,0,Completed,1.83,1.83,1.82,1.9,1.73,2.1,1.93,1.96,1.93,2.1,1.82,1.95
33,Paris,French Open,5/22/16,Grand Slam,Outdoor,Clay,1st Round,5,Kuznetsov An.,Becker B.,40,96,1063,600,2,0,Completed,1.28,3.5,1.3,3.4,1.29,3.75,1.31,3.74,1.31,3.8,1.29,3.56
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Rosol L.,4,59,6315,815,2,0,Completed,2,1.72,2.15,1.68,2.1,1.73,2.37,1.65,2.38,1.74,2.17,1.67
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Pavlasek A.,Carballes Baena R.,132,114,442,523,2,1,Completed,1.33,3.25,1.3,3.4,1.33,3.4,1.37,3.33,1.37,3.55,1.32,3.29
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Chardy J.,Mayer L.,32,68,1265,755,2,0,Completed,2,1.72,1.9,1.8,2,1.8,2,1.89,2.05,1.9,1.94,1.82
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Troicki V.,Dimitrov G.,24,36,1535,1150,2,0,Completed,1.06,10,1.06,8,1.08,8,1.07,10.95,1.09,10.95,1.06,8.73
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Daniel T.,Klizan M.,93,45,614,960,2,1,Completed,2.25,1.57,2.25,1.6,2.2,1.67,2.38,1.64,2.45,1.67,2.28,1.61
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Mannarino A.,Kukushkin M.,58,83,825,699,2,0,Completed,2,1.72,2.05,1.72,2.1,1.73,2.14,1.78,2.18,1.79,2.09,1.71
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Lajovic D.,Kudla D.,81,53,701,855,2,0,Completed,1.18,4.5,1.2,4.3,1.22,4.33,1.19,5.25,1.25,5.25,1.2,4.42
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Raonic M.,Tipsarevic J.,9,680,2785,38,2,0,Completed,1.4,2.75,1.4,2.9,1.44,2.75,1.44,3.01,1.45,3.05,1.41,2.85
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Dodig I.,Youzhny M.,77,78,708,707,2,0,Completed,1.14,5.5,1.16,5,1.14,5.5,1.24,4.6,1.24,5.85,1.16,4.99
33,Paris,French Open,5/23/16,Grand Slam,Outdoor,Clay,1st Round,5,Brown D.,Sela D.,116,62,520,781,2,0,Completed,1.33,3.25,1.33,3.1,1.36,3.25,1.36,3.47,1.38,3.5,1.34,3.2
