"","X","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1vp2winpercentage","p1vp2LogRankDiff","p1vp2LogRankPointsDiff","p1wins","inst.","actual","predicted","error","prediction","AvgW","AvgL","winnings"
"1073",2033,"Australian Open","Hard",128,"G","1/18/16",111202,"Hyeon Chung","R",186,"KOR",19.6659822,52,821,104925,"Novak Djokovic","R",188,"SRB",28.65982204,1,16790,5,0.5,-3.951243719,-3.018015641,"N",1073,"1:N","1:N","",0.99,1.01,24.99,1.01
"1074",2034,"Australian Open","Hard",128,"G","1/18/16",111460,"Quentin Halys","R",186,"FRA",19.22792608,187,274,104471,"Ivan Dodig","R",183,"CRO",31.04175222,78,678,5,0.5,-0.87439979,-0.906019182,"Y",1074,"2:Y","1:N","+",0.73,5.53,1.14,0
"1075",2035,"Australian Open","Hard",128,"G","1/18/16",105936,"Filip Krajinovic","R",185,"SRB",23.89048597,102,574,106045,"Denis Kudla","R",180,"USA",23.41957563,69,727,5,0.5,-0.390866309,-0.236297081,"N",1075,"1:N","1:N","",0.592,1.38,2.99,1.38
"1076",2036,"Australian Open","Hard",128,"G","1/18/16",104312,"Andreas Seppi","R",190,"ITA",31.90691307,29,1290,104559,"Teymuraz Gabashvili","R",188,"RUS",30.65571526,44,933,5,0.75,0.416893804,0.323992297,"Y",1076,"2:Y","2:Y","",0.65,1.62,2.25,1.62
"1077",2037,"Australian Open","Hard",128,"G","1/18/16",103333,"Ivo Karlovic","R",208,"CRO",36.88706366,24,1485,105643,"Federico Delbonis","L",190,"ARG",25.28678987,53,815,5,1,0.792238083,0.599981938,"N",1077,"1:N","2:Y","+",0.652,3.74,1.27,0
"1078",2038,"Australian Open","Hard",128,"G","1/18/16",105952,"Renzo Olivo","R",186,"ARG",23.84394251,174,296,106210,"Jiri Vesely","L",186,"CZE",22.52429843,50,840,5,0.5,-1.247032294,-1.043042438,"Y",1078,"2:Y","1:N","+",0.821,5.04,1.16,0
"1079",2039,"Australian Open","Hard",128,"G","1/18/16",105438,"Inigo Cervantes Huegun","R",186,"ESP",26.13278576,72,703,105539,"Evgeny Donskoy","R",185,"RUS",25.69472964,91,620,5,0.5,0.234193388,0.125637414,"N",1079,"1:N","2:Y","+",0.551,1.55,2.43,0
"1080",2040,"Australian Open","Hard",128,"G","1/18/16",104468,"Gilles Simon","R",183,"FRA",31.05817933,15,2145,105577,"Vasek Pospisil","R",193,"CAN",25.57152635,39,1075,5,0,0.955511445,0.690818891,"Y",1080,"2:Y","2:Y","",0.549,1.47,2.64,1.47
"1081",2041,"Australian Open","Hard",128,"G","1/18/16",104542,"Jo Wilfried Tsonga","R",188,"FRA",30.75427789,10,2725,104571,"Marcos Baghdatis","R",183,"CYP",30.58726899,46,894,5,1,1.526056303,1.114517932,"Y",1081,"2:Y","2:Y","",0.915,1.13,5.87,1.13
"1082",2042,"Australian Open","Hard",128,"G","1/18/16",105011,"Illya Marchenko","R",185,"UKR",28.3613963,76,688,117357,"Omar Jasika","L",186,"AUS",18.66940452,310,159,5,0.5,1.405838957,1.464884636,"N",1082,"1:N","2:Y","+",0.882,5.48,1.14,0
"1083",2043,"Australian Open","Hard",128,"G","1/18/16",104665,"Pablo Andujar","R",180,"ESP",29.98494182,62,770,105732,"Pierre Hugues Herbert","R",186,"FRA",24.83778234,167,313,5,0.5,0.990859427,0.900187324,"N",1083,"1:N","2:Y","+",0.741,1.5,2.54,0
"1084",2044,"Australian Open","Hard",128,"G","1/18/16",111511,"Noah Rubin","R",186,"USA",19.90691307,328,146,105332,"Benoit Paire","R",196,"FRA",26.69678303,18,1703,5,0.5,-2.90264185,-2.456540059,"Y",1084,"2:Y","1:N","+",0.974,8.92,1.06,0
"1085",2045,"Australian Open","Hard",128,"G","1/18/16",104198,"Guillermo Garcia Lopez","R",188,"ESP",32.62422998,27,1430,103908,"Paul Henri Mathieu","R",185,"FRA",34.01505818,97,609,5,0.333333333,1.278874112,0.853611456,"Y",1085,"2:Y","2:Y","",0.774,1.4,2.88,1.4
"1086",2046,"Australian Open","Hard",128,"G","1/18/16",104978,"Daniel Brands","R",196,"GER",28.5065024,151,393,103607,"Victor Estrella","R",173,"DOM",35.46064339,55,797,5,0.5,-1.009946652,-0.707045067,"Y",1086,"2:Y","1:N","+",0.676,1.38,3.03,0
"1087",2047,"Australian Open","Hard",128,"G","1/18/16",105842,"Di Wu","R",186,"CHN",24.3449692,243,218,105572,"Austin Krajicek","L",186,"USA",25.59069131,103,571,5,0.5,-0.858332455,-0.962894147,"N",1087,"1:N","1:N","",0.774,1.74,2.07,1.74
"1088",2048,"Australian Open","Hard",128,"G","1/18/16",105453,"Kei Nishikori","R",178,"JPN",26.05338809,7,4235,104259,"Philipp Kohlschreiber","R",178,"GER",32.25735797,34,1185,5,0.5,1.580450376,1.273640554,"Y",1088,"2:Y","2:Y","",0.899,1.23,4.15,1.23
"1089",2049,"Australian Open","Hard",128,"G","1/18/16",103819,"Roger Federer","R",185,"SUI",34.44490075,3,8165,105932,"Nikoloz Basilashvili","R",186,"RUS",23.90143737,118,493,5,0.5,3.672072336,2.807102831,"Y",1089,"2:Y","2:Y","",0.983,1.01,19.81,1.01
"1090",2050,"Australian Open","Hard",128,"G","1/18/16",105575,"Ricardas Berankis","R",175,"LTU",25.57700205,85,641,105238,"Alexandr Dolgopolov","R",180,"UKR",27.19507187,35,1160,5,0,-0.887303195,-0.593145827,"N",1090,"1:N","1:N","",0.843,1.2,4.45,1.2
"1091",2051,"Australian Open","Hard",128,"G","1/18/16",106075,"Jozef Kovalik","R",186,"SVK",23.20328542,251,215,105477,"Marco Trungelliti","R",186,"ARG",25.96303901,210,244,5,0.5,-0.178345408,-0.126530197,"N",1091,"1:N","1:N","",0.547,2.09,1.73,2.09
"1092",2052,"Australian Open","Hard",128,"G","1/18/16",103893,"Paolo Lorenzi","R",183,"ITA",34.091718,57,795,105777,"Grigor Dimitrov","R",188,"BUL",24.67624914,28,1420,5,0.5,-0.710846758,-0.580070036,"N",1092,"1:N","1:N","",0.805,1.06,8.97,1.06
"1093",2053,"Australian Open","Hard",128,"G","1/18/16",104919,"Leonardo Mayer","R",188,"ARG",28.678987,36,1105,106233,"Dominic Thiem","R",186,"AUT",22.37371663,20,1645,5,0.5,-0.587786665,-0.397895049,"N",1093,"1:N","1:N","",0.698,1.57,2.37,1.57
"1094",2054,"Australian Open","Hard",128,"G","1/18/16",104597,"Nicolas Almagro","R",183,"ESP",30.40930869,73,694,103898,"Julien Benneteau","R",185,"FRA",34.07802875,696,38,5,0.25,2.254890219,2.904885801,"Y",1094,"2:Y","2:Y","",0.972,1.25,3.89,1.25
"1095",2055,"Australian Open","Hard",128,"G","1/18/16",106378,"Kyle Edmund","R",186,"GBR",21.02669405,88,625,106000,"Damir Dzumhur","R",172,"BIH",23.66324435,81,661,5,0.5,-0.08288766,-0.05600219,"N",1095,"1:N","2:Y","+",0.546,3.62,1.28,0
