inst#,actual,predicted,error,prediction
1,1:N,2:Y,+,0.8
2,2:Y,1:N,+,1
3,1:N,1:N,,0.827
4,2:Y,2:Y,,0.808
5,2:Y,2:Y,,0.622
6,1:N,1:N,,0.9
7,2:Y,2:Y,,0.808
8,2:Y,2:Y,,0.686
9,1:N,1:N,,0.792
10,1:N,2:Y,+,0.85
11,1:N,1:N,,0.885
12,1:N,1:N,,0.552
13,1:N,1:N,,0.792
14,1:N,1:N,,0.577
15,2:Y,2:Y,,0.686
16,1:N,1:N,,0.792
17,1:N,1:N,,0.677
18,2:Y,1:N,+,0.677
19,1:N,1:N,,0.778
20,2:Y,2:Y,,0.822
21,1:N,1:N,,1
22,1:N,1:N,,0.677
23,2:Y,2:Y,,1
24,1:N,1:N,,0.792
25,1:N,1:N,,0.737
26,2:Y,1:N,+,1
27,2:Y,2:Y,,0.898
28,2:Y,2:Y,,0.898
29,2:Y,2:Y,,0.622
30,2:Y,2:Y,,1
31,2:Y,2:Y,,0.833
32,1:N,1:N,,0.662
33,2:Y,2:Y,,0.766
34,1:N,1:N,,0.534
35,1:N,1:N,,0.827
36,1:N,1:N,,0.827
37,1:N,1:N,,1
38,1:N,1:N,,1
39,1:N,1:N,,0.792
40,1:N,2:Y,+,0.686
41,1:N,2:Y,+,0.622
42,1:N,1:N,,0.792
43,1:N,1:N,,0.885
44,2:Y,2:Y,,0.898
45,2:Y,2:Y,,1
46,1:N,1:N,,0.792
47,2:Y,2:Y,,0.808
48,1:N,1:N,,0.827
49,2:Y,2:Y,,0.808
50,2:Y,1:N,+,0.677
51,1:N,2:Y,+,0.898
52,2:Y,2:Y,,0.898
53,1:N,2:Y,+,0.8
54,1:N,1:N,,0.677
55,2:Y,2:Y,,0.808
56,2:Y,2:Y,,0.822
57,2:Y,2:Y,,0.808
58,2:Y,2:Y,,0.833
59,2:Y,2:Y,,0.898
60,2:Y,1:N,+,0.792
61,2:Y,1:N,+,0.737
62,2:Y,2:Y,,0.808
63,2:Y,1:N,+,0.827
64,1:N,1:N,,1
65,2:Y,2:Y,,1
66,1:N,2:Y,+,0.833
67,1:N,1:N,,0.885
68,2:Y,2:Y,,0.898
69,1:N,2:Y,+,0.833
70,1:N,1:N,,1
71,1:N,1:N,,0.827
72,1:N,2:Y,+,0.808
73,2:Y,2:Y,,0.808
74,1:N,2:Y,+,0.622
75,2:Y,2:Y,,0.898
76,2:Y,2:Y,,0.898
77,1:N,2:Y,+,1
78,2:Y,2:Y,,1
79,2:Y,1:N,+,0.677
80,2:Y,2:Y,,0.898
81,1:N,1:N,,0.662
82,1:N,2:Y,+,1
83,1:N,2:Y,+,0.898
84,2:Y,2:Y,,0.622
85,1:N,1:N,,0.792
86,2:Y,1:N,+,0.662
87,1:N,1:N,,0.885
88,2:Y,2:Y,,0.898
89,2:Y,1:N,+,1
90,1:N,1:N,,0.792
91,1:N,1:N,,0.885
92,1:N,1:N,,0.83
93,1:N,1:N,,0.827
94,2:Y,2:Y,,0.898
95,1:N,2:Y,+,0.833
96,1:N,2:Y,+,0.822
97,2:Y,2:Y,,0.898
98,2:Y,1:N,+,1
99,2:Y,2:Y,,0.898
100,1:N,1:N,,0.83
101,1:N,2:Y,+,0.898
102,1:N,1:N,,0.885
103,2:Y,2:Y,,0.889
104,1:N,1:N,,0.83
105,1:N,2:Y,+,1
106,1:N,1:N,,0.811
107,1:N,1:N,,0.885
108,1:N,2:Y,+,1
109,2:Y,2:Y,,1
110,2:Y,1:N,+,1
111,1:N,2:Y,+,0.808
112,2:Y,2:Y,,0.622
113,1:N,1:N,,0.677
114,2:Y,2:Y,,0.857
115,1:N,1:N,,0.827
116,2:Y,1:N,+,0.677
117,2:Y,2:Y,,1
118,2:Y,1:N,+,0.792
119,2:Y,2:Y,,0.686
120,2:Y,2:Y,,0.622
121,2:Y,2:Y,,1
122,2:Y,2:Y,,0.822
123,2:Y,2:Y,,0.898
124,1:N,2:Y,+,1
125,1:N,2:Y,+,0.622
126,2:Y,2:Y,,0.686
127,1:N,1:N,,0.75
128,1:N,1:N,,0.737
129,2:Y,2:Y,,0.686
130,1:N,1:N,,0.792
131,1:N,1:N,,0.827
132,1:N,1:N,,0.577
133,2:Y,1:N,+,0.677
134,1:N,1:N,,1
135,1:N,1:N,,0.591
136,1:N,1:N,,0.792
137,1:N,2:Y,+,0.85
138,2:Y,2:Y,,0.898
139,1:N,1:N,,0.827
140,1:N,2:Y,+,0.833
141,2:Y,1:N,+,0.534
142,2:Y,2:Y,,0.793
143,2:Y,2:Y,,1
144,2:Y,1:N,+,1
145,1:N,2:Y,+,1
146,1:N,1:N,,0.827
147,1:N,1:N,,0.827
148,2:Y,2:Y,,1
149,2:Y,1:N,+,0.677
150,2:Y,2:Y,,0.822
151,2:Y,2:Y,,0.793
152,1:N,1:N,,1
153,2:Y,1:N,+,0.677
154,1:N,1:N,,0.885
155,2:Y,2:Y,,0.857
156,1:N,1:N,,0.75
157,2:Y,2:Y,,0.686
158,2:Y,2:Y,,0.793
159,2:Y,2:Y,,0.822
160,1:N,2:Y,+,0.703
161,1:N,1:N,,0.677
162,2:Y,2:Y,,0.808
163,2:Y,2:Y,,0.808
164,2:Y,2:Y,,0.622
165,1:N,2:Y,+,0.833
166,2:Y,2:Y,,0.808
167,1:N,1:N,,0.792
168,1:N,1:N,,0.677
169,1:N,1:N,,0.677
170,1:N,1:N,,0.885
171,1:N,1:N,,0.885
172,2:Y,2:Y,,1
173,1:N,2:Y,+,0.622
174,2:Y,1:N,+,0.662
175,1:N,1:N,,0.827
176,2:Y,1:N,+,0.677
177,2:Y,2:Y,,0.686
178,1:N,1:N,,0.662
179,1:N,1:N,,0.885
180,2:Y,1:N,+,0.792
181,1:N,2:Y,+,0.833
182,1:N,1:N,,1
183,1:N,1:N,,0.827
184,1:N,2:Y,+,0.686
185,1:N,2:Y,+,0.833
186,1:N,1:N,,0.885
187,2:Y,1:N,+,1
188,1:N,1:N,,0.792
189,1:N,2:Y,+,0.875
190,2:Y,2:Y,,0.808
191,1:N,1:N,,0.662
192,1:N,1:N,,0.827
193,2:Y,2:Y,,0.766
194,2:Y,1:N,+,0.885
195,2:Y,1:N,+,0.591
196,1:N,2:Y,+,1
197,1:N,1:N,,0.827
198,2:Y,2:Y,,0.808
199,1:N,1:N,,0.827
200,1:N,1:N,,0.778
201,2:Y,2:Y,,0.875
202,2:Y,2:Y,,0.898
203,1:N,2:Y,+,0.898
204,2:Y,2:Y,,0.622
205,1:N,1:N,,0.827
206,1:N,1:N,,0.662
207,2:Y,2:Y,,0.898
208,1:N,2:Y,+,0.833
209,2:Y,2:Y,,0.808
210,2:Y,2:Y,,0.898
211,1:N,2:Y,+,0.766
212,2:Y,1:N,+,0.75
213,1:N,1:N,,1
214,1:N,1:N,,0.792
215,1:N,2:Y,+,1
216,1:N,1:N,,1
217,2:Y,2:Y,,1
218,1:N,1:N,,0.885
219,1:N,1:N,,1
220,2:Y,2:Y,,1
221,2:Y,2:Y,,0.898
222,1:N,2:Y,+,0.889
223,2:Y,2:Y,,0.808
224,2:Y,1:N,+,0.662
225,2:Y,2:Y,,1
226,2:Y,2:Y,,0.898
227,2:Y,2:Y,,0.646
228,1:N,1:N,,0.83
229,1:N,1:N,,0.662
230,1:N,1:N,,0.83
231,2:Y,1:N,+,0.83
232,1:N,1:N,,1
233,1:N,2:Y,+,1

