inst#,actual,predicted,error,prediction
1,1:N,2:Y,+,0.76
2,2:Y,2:Y,,0.76
3,1:N,2:Y,+,0.76
4,2:Y,2:Y,,0.76
5,2:Y,2:Y,,0.76
6,1:N,2:Y,+,0.76
7,2:Y,2:Y,,0.76
8,2:Y,2:Y,,0.76
9,1:N,2:Y,+,0.76
10,1:N,2:Y,+,0.76
11,1:N,2:Y,+,0.76
12,1:N,2:Y,+,0.76
13,1:N,2:Y,+,0.76
14,1:N,2:Y,+,0.76
15,2:Y,2:Y,,0.76
16,1:N,2:Y,+,0.76
17,1:N,2:Y,+,0.76
18,2:Y,2:Y,,0.76
19,1:N,2:Y,+,0.76
20,2:Y,2:Y,,0.76
21,1:N,2:Y,+,0.76
22,1:N,2:Y,+,0.76
23,2:Y,2:Y,,0.76
24,1:N,2:Y,+,0.76
25,1:N,2:Y,+,0.76
26,2:Y,2:Y,,0.76
27,2:Y,2:Y,,0.761
28,2:Y,2:Y,,0.76
29,2:Y,2:Y,,0.76
30,2:Y,2:Y,,0.76
31,2:Y,2:Y,,0.76
32,1:N,2:Y,+,0.76
33,2:Y,2:Y,,0.76
34,1:N,2:Y,+,0.76
35,1:N,2:Y,+,0.76
36,1:N,2:Y,+,0.76
37,1:N,2:Y,+,0.76
38,1:N,2:Y,+,0.76
39,1:N,2:Y,+,0.76
40,1:N,2:Y,+,0.76
41,1:N,2:Y,+,0.76
42,1:N,2:Y,+,0.76
43,1:N,2:Y,+,0.76
44,2:Y,2:Y,,0.76
45,2:Y,2:Y,,0.76
46,1:N,2:Y,+,0.76
47,2:Y,2:Y,,0.76
48,1:N,2:Y,+,0.76
49,2:Y,2:Y,,0.76
50,2:Y,2:Y,,0.76
51,1:N,2:Y,+,0.76
52,2:Y,2:Y,,0.76
53,1:N,2:Y,+,0.76
54,1:N,2:Y,+,0.76
55,2:Y,2:Y,,0.76
56,2:Y,2:Y,,0.76
57,2:Y,2:Y,,0.76
58,2:Y,2:Y,,0.76
59,2:Y,2:Y,,0.76
60,2:Y,2:Y,,0.76
61,2:Y,2:Y,,0.76
62,2:Y,2:Y,,0.76
63,2:Y,2:Y,,0.76
64,1:N,2:Y,+,0.76
65,2:Y,2:Y,,0.76
66,1:N,2:Y,+,0.76
67,1:N,2:Y,+,0.76
68,2:Y,2:Y,,0.76
69,1:N,2:Y,+,0.76
70,1:N,2:Y,+,0.76
71,1:N,2:Y,+,0.76
72,1:N,2:Y,+,0.76
73,2:Y,2:Y,,0.76
74,1:N,2:Y,+,0.76
75,2:Y,2:Y,,0.76
76,2:Y,2:Y,,0.76
77,1:N,2:Y,+,0.76
78,2:Y,2:Y,,0.76
79,2:Y,2:Y,,0.76
80,2:Y,2:Y,,0.76
81,1:N,2:Y,+,0.76
82,1:N,2:Y,+,0.76
