inst#,actual,predicted,error,prediction
1,2:Y,2:Y,,0.996
2,1:N,2:Y,+,0.557
3,2:Y,2:Y,,0.723
4,1:N,1:N,,0.857
5,1:N,1:N,,0.896
6,1:N,1:N,,0.94
7,2:Y,1:N,+,0.558
8,2:Y,2:Y,,0.75
9,1:N,1:N,,0.902
10,1:N,1:N,,0.709
11,1:N,1:N,,0.808
12,2:Y,2:Y,,0.882
13,2:Y,1:N,+,0.808
14,2:Y,2:Y,,0.766
15,1:N,1:N,,0.826
16,2:Y,2:Y,,0.979
17,1:N,1:N,,0.975
18,2:Y,1:N,+,0.918
19,2:Y,1:N,+,0.624
20,2:Y,1:N,+,0.864
21,2:Y,1:N,+,0.89
22,1:N,2:Y,+,0.733
23,2:Y,2:Y,,0.685
24,2:Y,1:N,+,0.875
25,2:Y,2:Y,,0.924
26,1:N,2:Y,+,0.506
27,1:N,1:N,,0.814
28,1:N,1:N,,0.862
29,1:N,1:N,,0.909
30,1:N,1:N,,0.881
31,2:Y,2:Y,,0.524
32,2:Y,2:Y,,0.963
33,1:N,1:N,,0.986
34,1:N,2:Y,+,0.533
35,1:N,2:Y,+,0.574
36,2:Y,2:Y,,0.895
37,2:Y,2:Y,,0.812
38,2:Y,2:Y,,0.647
39,1:N,1:N,,0.538
40,1:N,2:Y,+,0.954
41,2:Y,2:Y,,0.785
42,1:N,2:Y,+,0.512
43,2:Y,1:N,+,0.691
44,1:N,1:N,,0.876
45,2:Y,2:Y,,0.774
46,2:Y,1:N,+,0.744
47,2:Y,2:Y,,0.597
48,2:Y,2:Y,,0.975
49,2:Y,2:Y,,0.995
50,1:N,1:N,,0.668
51,2:Y,2:Y,,0.897
52,2:Y,2:Y,,0.739
53,1:N,1:N,,0.944
54,1:N,2:Y,+,0.53
55,2:Y,2:Y,,0.554
56,1:N,1:N,,0.973
57,2:Y,1:N,+,0.947
58,1:N,2:Y,+,0.616
59,1:N,1:N,,0.566
60,2:Y,2:Y,,0.829
61,1:N,1:N,,0.759
62,2:Y,2:Y,,0.511
63,1:N,1:N,,0.548
64,1:N,1:N,,0.988
65,1:N,1:N,,0.993
66,2:Y,2:Y,,0.834
67,1:N,1:N,,0.817
68,2:Y,1:N,+,0.905
69,2:Y,2:Y,,0.792
70,2:Y,1:N,+,0.855
71,1:N,1:N,,0.587
72,1:N,1:N,,0.967
73,2:Y,2:Y,,0.995
74,2:Y,2:Y,,0.724
75,2:Y,2:Y,,0.587
76,1:N,1:N,,0.742
77,2:Y,2:Y,,0.943
78,1:N,1:N,,0.711
79,1:N,2:Y,+,0.533
80,2:Y,2:Y,,0.979
81,1:N,1:N,,0.982
82,1:N,2:Y,+,0.691
83,1:N,2:Y,+,0.674
84,1:N,1:N,,0.671
85,1:N,1:N,,0.886
86,1:N,1:N,,0.904
87,1:N,2:Y,+,0.707
88,1:N,1:N,,0.985
89,1:N,1:N,,0.981
90,2:Y,1:N,+,0.634
91,1:N,2:Y,+,0.63
92,2:Y,2:Y,,0.95
93,1:N,1:N,,0.662
94,1:N,1:N,,0.518
95,1:N,2:Y,+,0.745
96,1:N,1:N,,0.987
97,2:Y,2:Y,,0.986
98,1:N,2:Y,+,0.781
99,2:Y,2:Y,,0.701
100,2:Y,2:Y,,0.945
101,2:Y,2:Y,,0.973
102,2:Y,2:Y,,0.54
103,2:Y,2:Y,,0.74
104,2:Y,2:Y,,0.954
105,1:N,1:N,,0.957
106,2:Y,2:Y,,0.578
107,1:N,1:N,,0.606
108,2:Y,2:Y,,0.986
109,2:Y,2:Y,,0.964
110,2:Y,2:Y,,0.959
111,1:N,1:N,,0.655
112,1:N,2:Y,+,0.985
113,1:N,1:N,,0.99
114,1:N,1:N,,0.823
115,1:N,1:N,,0.947
116,2:Y,2:Y,,0.743
117,2:Y,2:Y,,0.962
118,1:N,1:N,,0.934
119,1:N,1:N,,0.677
120,2:Y,2:Y,,0.651
121,1:N,1:N,,0.929
122,1:N,1:N,,0.588
123,2:Y,1:N,+,0.784
124,2:Y,2:Y,,0.963
125,2:Y,2:Y,,0.871
126,2:Y,1:N,+,0.517
127,2:Y,2:Y,,0.871
128,1:N,1:N,,0.537
129,1:N,2:Y,+,0.651
130,1:N,1:N,,0.734
131,1:N,2:Y,+,0.68
132,1:N,1:N,,0.761
133,2:Y,1:N,+,0.631
134,2:Y,2:Y,,0.507
135,2:Y,1:N,+,0.825
136,1:N,2:Y,+,0.666
137,2:Y,1:N,+,0.777
138,1:N,1:N,,0.997
139,1:N,2:Y,+,0.613
140,1:N,2:Y,+,0.704
141,2:Y,2:Y,,0.543
142,2:Y,1:N,+,0.712
143,2:Y,2:Y,,0.645
