inst#,actual,predicted,error,prediction
1,2:Y,2:Y,,0.939
2,1:N,2:Y,+,0.544
3,2:Y,2:Y,,0.575
4,1:N,1:N,,0.688
5,1:N,1:N,,0.745
6,1:N,1:N,,0.625
7,2:Y,1:N,+,0.52
8,2:Y,2:Y,,0.618
9,1:N,1:N,,0.736
10,1:N,1:N,,0.592
11,1:N,1:N,,0.661
12,2:Y,2:Y,,0.719
13,2:Y,1:N,+,0.641
14,2:Y,2:Y,,0.597
15,1:N,1:N,,0.681
16,2:Y,2:Y,,0.868
17,1:N,1:N,,0.867
18,2:Y,1:N,+,0.724
19,2:Y,1:N,+,0.548
20,2:Y,1:N,+,0.718
21,2:Y,1:N,+,0.726
22,1:N,2:Y,+,0.608
23,2:Y,2:Y,,0.594
24,2:Y,1:N,+,0.731
25,2:Y,2:Y,,0.748
26,1:N,2:Y,+,0.536
27,1:N,1:N,,0.671
28,1:N,1:N,,0.705
29,1:N,1:N,,0.774
30,1:N,1:N,,0.685
31,2:Y,2:Y,,0.518
32,2:Y,2:Y,,0.842
33,1:N,1:N,,0.867
34,1:N,2:Y,+,0.517
35,1:N,2:Y,+,0.6
36,2:Y,2:Y,,0.735
37,2:Y,2:Y,,0.68
38,2:Y,2:Y,,0.601
39,1:N,2:Y,+,0.512
40,1:N,2:Y,+,0.795
41,2:Y,2:Y,,0.666
42,1:N,1:N,,0.51
43,2:Y,1:N,+,0.529
44,1:N,1:N,,0.7
45,2:Y,2:Y,,0.646
46,2:Y,1:N,+,0.62
47,2:Y,2:Y,,0.54
48,2:Y,2:Y,,0.856
49,2:Y,2:Y,,0.912
50,1:N,1:N,,0.575
51,2:Y,2:Y,,0.72
52,2:Y,2:Y,,0.649
53,1:N,1:N,,0.826
54,1:N,2:Y,+,0.512
55,2:Y,2:Y,,0.516
56,1:N,1:N,,0.834
57,2:Y,1:N,+,0.798
58,1:N,2:Y,+,0.572
59,1:N,1:N,,0.527
60,2:Y,2:Y,,0.699
61,1:N,1:N,,0.579
62,2:Y,1:N,+,0.502
63,1:N,1:N,,0.544
64,1:N,1:N,,0.891
65,1:N,1:N,,0.924
66,2:Y,2:Y,,0.666
67,1:N,1:N,,0.682
68,2:Y,1:N,+,0.713
69,2:Y,2:Y,,0.628
70,2:Y,1:N,+,0.635
71,1:N,1:N,,0.596
72,1:N,1:N,,0.796
73,2:Y,2:Y,,0.915
74,2:Y,2:Y,,0.597
75,2:Y,2:Y,,0.555
76,1:N,1:N,,0.623
77,2:Y,2:Y,,0.774
78,1:N,1:N,,0.631
79,1:N,2:Y,+,0.52
80,2:Y,2:Y,,0.87
81,1:N,1:N,,0.866
82,1:N,2:Y,+,0.61
83,1:N,2:Y,+,0.593
84,1:N,1:N,,0.52
85,1:N,1:N,,0.714
86,1:N,1:N,,0.705
87,1:N,2:Y,+,0.631
88,1:N,1:N,,0.892
89,1:N,1:N,,0.858
90,2:Y,1:N,+,0.565
91,1:N,2:Y,+,0.674
92,2:Y,2:Y,,0.812
93,1:N,1:N,,0.586
94,1:N,1:N,,0.501
95,1:N,2:Y,+,0.608
96,1:N,1:N,,0.885
97,2:Y,2:Y,,0.894
98,1:N,2:Y,+,0.641
99,2:Y,2:Y,,0.606
100,2:Y,2:Y,,0.784
101,2:Y,2:Y,,0.849
102,2:Y,2:Y,,0.522
103,2:Y,2:Y,,0.598
104,2:Y,2:Y,,0.808
105,1:N,1:N,,0.799
106,2:Y,2:Y,,0.574
107,1:N,1:N,,0.572
108,2:Y,2:Y,,0.892
109,2:Y,2:Y,,0.813
110,2:Y,2:Y,,0.814
111,1:N,1:N,,0.609
112,1:N,2:Y,+,0.87
113,1:N,1:N,,0.911
114,1:N,1:N,,0.653
115,1:N,1:N,,0.811
116,2:Y,2:Y,,0.643
117,2:Y,2:Y,,0.8
118,1:N,1:N,,0.758
119,1:N,1:N,,0.565
120,2:Y,2:Y,,0.598
121,1:N,1:N,,0.77
122,1:N,1:N,,0.515
123,2:Y,1:N,+,0.653
124,2:Y,2:Y,,0.794
125,2:Y,2:Y,,0.718
126,2:Y,2:Y,,0.516
127,2:Y,2:Y,,0.741
128,1:N,2:Y,+,0.558
129,1:N,2:Y,+,0.567
130,1:N,1:N,,0.596
