"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1wins"
"1","2000-580","Australian Open","Hard","128","G",2000-01-17,"101736","Andre Agassi","R",180,"USA",29.71937029,1,4135,"103264","Mariano Puerta","L",180,"ARG",21.32785763,112,353,"5","Y"
"2","2000-580","Australian Open","Hard","128","G",2000-01-17,"102854","Sjeng Schalken","R",193,"NED",23.35660507,47,728,"102869","Galo Blanco","R",173,"ESP",23.27446954,77,518,"5","Y"
"3","2000-580","Australian Open","Hard","128","G",2000-01-17,"102456","Felix Mantilla","R",180,"ESP",25.31690623,27,1111,"103151","Mariano Zabaleta","R",183,"ARG",21.88364134,33,936,"5","N"
"4","2000-580","Australian Open","Hard","128","G",2000-01-17,"101889","Todd Woodbridge","R",178,"AUS",28.79397673,204,166,"101733","Jan Siemerink","L",183,"NED",29.76043806,93,432,"5","Y"
"5","2000-580","Australian Open","Hard","128","G",2000-01-17,"102776","Andrew Ilie","R",180,"AUS",23.74811773,46,732,"101543","Jeff Tarango","L",180,"USA",31.15674196,65,599,"5","Y"
"6","2000-580","Australian Open","Hard","128","G",2000-01-17,"103182","Markus Hipfl","R",178,"AUT",21.72758385,75,539,"102562","Jiri Novak","R",190,"CZE",24.82409309,37,841,"5","N"
"7","2000-580","Australian Open","Hard","128","G",2000-01-17,"102247","Andrea Gaudenzi","R",183,"ITA",26.46680356,88,440,"103171","Raemon Sluiter","R",185,"NED",21.76317591,166,221,"5","N"
"8","2000-580","Australian Open","Hard","128","G",2000-01-17,"102882","Mark Philippoussis","R",196,"AUS",23.19233402,19,1258,"103174","Noam Okun","R",185,"ISR",21.75496235,189,184,"5","Y"
"9","2000-580","Australian Open","Hard","128","G",2000-01-17,"101990","Richard Krajicek","R",196,"NED",28.11498973,10,1717,"102148","Fabrice Santoro","R",178,"FRA",27.10472279,25,1157,"5","Y"
"10","2000-580","Australian Open","Hard","128","G",2000-01-17,"102765","Nicolas Escude","R",185,"FRA",23.78918549,34,877,"101793","Jim Courier","R",185,"USA",29.41820671,36,860,"5","Y"
"11","2000-580","Australian Open","Hard","128","G",2000-01-17,"103162","Dejan Petrovic","R",186,"SRB",21.79055441,201,173,"102233","Leander Paes","R",178,"IND",26.58453114,137,277,"5","N"
"12","2000-580","Australian Open","Hard","128","G",2000-01-17,"102024","Hernan Gumy","R",188,"ARG",27.86858316,63,606,"103714","Andreas Vinciguerra","L",180,"SWE",18.90759754,99,405,"5","N"
"13","2000-580","Australian Open","Hard","128","G",2000-01-17,"102966","Fredrik Jonsson","R",193,"SWE",22.80629706,123,313,"102831","Jacobo Diaz","R",173,"ESP",23.51813826,84,453,"5","Y"
"14","2000-580","Australian Open","Hard","128","G",2000-01-17,"102271","Hicham Arazi","L",175,"MAR",26.24503765,41,800,"103031","Julian Alonso","R",185,"ESP",22.45859001,111,354,"5","Y"
"15","2000-580","Australian Open","Hard","128","G",2000-01-17,"102950","Fernando Vicente","R",180,"ESP",22.86105407,55,694,"102238","Alberto Berasategui","R",173,"ESP",26.55441478,59,653,"5","Y"
"16","2000-580","Australian Open","Hard","128","G",2000-01-17,"101647","Byron Black","R",175,"ZIM",30.28062971,71,567,"101774","Todd Martin","R",198,"USA",29.52772074,9,1753,"5","N"
"17","2000-580","Australian Open","Hard","128","G",2000-01-17,"101948","Pete Sampras","R",185,"USA",28.43258042,3,2419,"101885","Wayne Arthurs","L",190,"AUS",28.83504449,105,366,"5","Y"
