inst#,actual,predicted,error,prediction
1,1:N,2:Y,+,0.647
2,2:Y,2:Y,,0.647
3,1:N,2:Y,+,0.647
4,2:Y,2:Y,,0.647
5,2:Y,2:Y,,0.647
6,1:N,2:Y,+,0.647
7,2:Y,2:Y,,0.647
8,2:Y,2:Y,,0.647
9,1:N,2:Y,+,0.647
10,1:N,2:Y,+,0.647
11,1:N,2:Y,+,0.647
12,1:N,2:Y,+,0.647
13,1:N,2:Y,+,0.647
14,1:N,2:Y,+,0.647
15,2:Y,2:Y,,0.647
16,1:N,2:Y,+,0.647
17,1:N,2:Y,+,0.647
18,2:Y,2:Y,,0.647
19,1:N,2:Y,+,0.647
20,2:Y,2:Y,,0.647
21,1:N,2:Y,+,0.647
22,1:N,2:Y,+,0.647
23,2:Y,2:Y,,0.647
24,1:N,2:Y,+,0.647
25,1:N,2:Y,+,0.647
26,2:Y,2:Y,,0.647
27,2:Y,2:Y,,0.647
28,2:Y,2:Y,,0.647
29,2:Y,2:Y,,0.647
30,2:Y,2:Y,,0.647
31,2:Y,2:Y,,0.647
32,1:N,2:Y,+,0.647
33,2:Y,2:Y,,0.647
34,1:N,2:Y,+,0.647
35,1:N,2:Y,+,0.647
36,1:N,2:Y,+,0.647
37,1:N,2:Y,+,0.647
38,1:N,2:Y,+,0.647
39,1:N,2:Y,+,0.647
40,1:N,2:Y,+,0.647
41,1:N,2:Y,+,0.647
42,1:N,2:Y,+,0.647
43,1:N,2:Y,+,0.647
44,2:Y,2:Y,,0.647
45,2:Y,2:Y,,0.647
46,1:N,2:Y,+,0.647
47,2:Y,2:Y,,0.647
48,1:N,2:Y,+,0.647
49,2:Y,2:Y,,0.647
50,2:Y,2:Y,,0.647
51,1:N,2:Y,+,0.647
52,2:Y,2:Y,,0.647
53,1:N,2:Y,+,0.647
54,1:N,2:Y,+,0.647
55,2:Y,2:Y,,0.647
56,2:Y,2:Y,,0.647
57,2:Y,2:Y,,0.647
58,2:Y,2:Y,,0.647
59,2:Y,2:Y,,0.647
60,2:Y,2:Y,,0.647
61,2:Y,2:Y,,0.647
62,2:Y,2:Y,,0.647
63,2:Y,2:Y,,0.647
64,1:N,2:Y,+,0.647
65,2:Y,2:Y,,0.647
66,1:N,2:Y,+,0.647
67,1:N,2:Y,+,0.647
68,2:Y,2:Y,,0.647
69,1:N,2:Y,+,0.647
70,1:N,2:Y,+,0.647
71,1:N,2:Y,+,0.647
72,1:N,2:Y,+,0.647
73,2:Y,2:Y,,0.647
74,1:N,2:Y,+,0.647
75,2:Y,2:Y,,0.647
76,2:Y,2:Y,,0.647
77,1:N,2:Y,+,0.647
78,2:Y,2:Y,,0.647
79,2:Y,2:Y,,0.647
80,2:Y,2:Y,,0.647
81,1:N,2:Y,+,0.647
82,1:N,2:Y,+,0.647
83,1:N,2:Y,+,0.647
84,2:Y,2:Y,,0.647
85,1:N,2:Y,+,0.647
86,2:Y,2:Y,,0.647
87,1:N,2:Y,+,0.647
88,2:Y,2:Y,,0.647
89,2:Y,2:Y,,0.647
90,1:N,2:Y,+,0.647
91,1:N,2:Y,+,0.647
92,1:N,2:Y,+,0.647
93,1:N,2:Y,+,0.647
94,2:Y,2:Y,,0.647
95,1:N,2:Y,+,0.647
96,1:N,2:Y,+,0.647
97,2:Y,2:Y,,0.647
98,2:Y,2:Y,,0.647
99,2:Y,2:Y,,0.647
100,1:N,2:Y,+,0.647
101,1:N,2:Y,+,0.647
102,1:N,2:Y,+,0.647
103,2:Y,2:Y,,0.647
104,1:N,2:Y,+,0.647
105,1:N,2:Y,+,0.647
106,1:N,2:Y,+,0.647
107,1:N,2:Y,+,0.647
108,1:N,2:Y,+,0.647
109,2:Y,2:Y,,0.647
110,2:Y,2:Y,,0.647
111,1:N,2:Y,+,0.647
112,2:Y,2:Y,,0.647
113,1:N,2:Y,+,0.647
114,2:Y,2:Y,,0.647
115,1:N,2:Y,+,0.647
116,2:Y,2:Y,,0.647
117,2:Y,2:Y,,0.647
